Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202200000492;1 098 543;813 094;A01;10;3;4;1;2012.0;9;0;-1;-1;4;3;2
202200000492;1 098 544;813 094;A01;10;3;4;1;1989.0;9;0;-1;-1;4;3;2
202200000493;1 098 540;813 092;B01;1;1;3;1;2015.0;5;2;-1;-1;0;0;-1
202200000493;1 098 541;813 093;A01;1;1;3;1;1987.0;5;2;-1;-1;0;0;-1
202200000494;1 098 538;813 091;A01;10;3;4;1;2010.0;2;0;-1;-1;5;3;1
202200000494;1 098 539;813 091;A01;1;1;1;1;1951.0;0;1;8;-1;-1; -1;-1
202200000495;1 098 536;813 090;A01;1;1;1;2;1968.0;5;1;-1;-1;0;0;-1
202200000495;1 098 537;813 090;A01;10;3;4;2;1953.0;5;0;-1;-1;3;3;1
202200000496;1 098 532;813 086;A01;1;1;1;2;1972.0;0;1;0;-1;0;0;-1
202200000496;1 098 534;813 088;B01;1;1;4;1;2000.0;0;2;0;-1;-1; -1;-1
202200000497;1 098 533;813 087;A01;1;1;3;1;1937.0;5;2;9;-1;0;0;-1
202200000497;1 098 535;813 089;B01;1;1;1;1;1948.0;5;1;-1;-1;0;0;-1
202200000498;1 098 529;813 084;A01;1;1;3;1;1971.0;9;2;6;-1;0;0;-1
202200000499;1 098 531;813 085;A01;1;1;3;1;1970.0;0;1;-1;-1;0;0;-1
202200000500;1 098 527;813 083;A01;1;1;1;2;1949.0;0;1;-1;-1;0;0;-1
202200000500;1 098 528;813 083;A01;10;3;4;1;2013.0;2;0;-1;-1;3;3;2
202200000500;1 098 530;813 083;A01;10;3;4;2;2015.0;2;0;-1;-1;3;3;2
202200000501;1 098 526;813 082;A01;1;1;3;2;1955.0;5;1;-1;-1;0;0;-1
202200000502;1 098 524;813 080;A01;1;1;2;1;1957.0;3;0;-1;-1;0;0;-1
202200000503;1 098 523;813 079;B01;1;1;1;1;1983.0;3;1;-1;-1;0;0;-1
202200000503;1 098 525;813 081;A01;1;1;3;1;1990.0;5;2;6;9;0;0;-1
202200000504;1 098 521;813 077;A01;1;1;2;2;1965.0;3;0;-1;-1;0;0;-1
202200000504;1 098 522;813 078;B01;1;1;1;2;1976.0;4;1;-1;-1;0;0;-1
202200000505;1 098 519;813 076;A01;10;3;3;2;1939.0;5;0;-1;-1;3;3;1
202200000506;1 098 518;813 075;A01;1;1;3;1;1995.0;5;1;9;-1;0;0;-1
202200000507;1 098 513;813 072;A01;1;1;3;1;2010.0;5;2;-1;-1;0;0;-1
202200000507;1 098 516;813 073;B01;1;1;1;2;1961.0;5;1;-1;-1;0;0;-1
202200000508;1 098 512;813 071;B01;6;2;3;1;1980.0;4;1;-1;-1;0;0;-1
202200000508;1 098 514;813 071;B01;2;2;3;1;1966.0;4;1;-1;-1;0;0;-1
202200000508;1 098 515;813 071;B01;1;1;1;1;1983.0;4;1;-1;-1;0;0;-1
202200000508;1 098 517;813 074;A01;1;1;3;1;1965.0;1;1;-1;-1;0;0;-1
202200000509;1 098 503;813 068;A01;2;2;3;1;1994.0;0;1;-1;-1;0;0;-1
202200000509;1 098 506;813 068;A01;8;2;3;1;1994.0;0;1;-1;-1;0;0;-1
202200000509;1 098 508;813 068;A01;1;1;4;2;1994.0;0;1;-1;-1;0;0;-1
202200000509;1 098 510;813 070;B01;1;1;1;1;1990.0;4;1;-1;-1;0;0;-1
202200000510;1 098 504;813 067;A01;1;1;3;1;1990.0;0;0;-1;-1;0;0;-1
202200000510;1 098 511;813 069;B01;1;1;1;1;1974.0;5;1;-1;-1;0;0;-1
202200000511;1 098 493;813 063;A01;1;1;1;1;1983.0;0;8;8;-1;-1; -1;-1
202200000511;1 098 496;813 066;B01;1;1;4;2;1998.0;0;8;8;-1;-1; -1;-1
202200000512;1 098 495;813 064;A01;10;3;2;1;1961.0;0;8;-1;-1;3;B;1
202200000513;1 098 492;813 062;B01;1;1;1;1;1963.0;4;8;-1;-1;0;0;-1
202200000513;1 098 497;813 065;A01;1;1;1;1;1995.0;5;8;-1;-1;0;0;-1
202200000513;1 098 498;813 065;A01;9;2;1;2;1992.0;5;8;-1;-1;0;0;-1
202200000513;1 098 499;813 065;A01;7;2;1;2;1995.0;5;8;-1;-1;0;0;-1
202200000513;1 098 500;813 065;A01;5;2;1;1;1997.0;5;8;-1;-1;0;0;-1
202200000513;1 098 501;813 065;A01;4;2;1;1;1996.0;5;8;-1;-1;0;0;-1
