Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000129;813 742;A01;2;7;4;0;1;1;1;
202200000130;813 738;D01;2;10;0;2;4;2;1;
202200000130;813 739;C01;2;10;0;2;8;2;1;
202200000130;813 740;A01;2;33;0;2;1;3;1;
202200000130;813 741;B01;2;7;0;2;5;2;1;
202200000131;813 735;C01;2;10;0;2;4;1;1;
202200000131;813 736;B01;2;7;0;2;4;1;1;
202200000131;813 737;A01;2;10;0;2;1;1;1;
202200000132;813 733;A01;2;7;0;2;3;9;1;
202200000132;813 734;B01;2;7;0;2;5;9;1;
202200000133;813 732;A01;1;7;4;0;1;1;1;
202200000134;813 731;A01;1;7;4;0;0;21;1;
202200000135;813 729;B01;1;7;0;9;1;1;1;
202200000135;813 730;A01;1;7;4;0;1;1;3;
202200000136;813 727;B01;2;7;0;2;4;2;1;
202200000136;813 728;A01;2;7;0;2;1;2;1;
202200000137;813 725;A01;2;7;0;2;6;11;1;
202200000137;813 726;B01;2;33;0;2;1;3;1;
202200000138;813 720;C01;2;7;0;2;1;1;2;
202200000138;813 721;A01;2;7;0;2;4;23;2;
202200000138;813 722;E01;2;7;0;2;7;1;1;
202200000138;813 723;D01;2;7;1;0;1;1;1;
202200000138;813 724;B01;2;10;1;0;1;2;1;
202200000139;813 719;A01;2;7;4;0;2;2;1;
202200000140;813 715;B01;2;7;0;2;3;1;1;
202200000140;813 716;A01;2;7;0;2;1;5;1;
202200000141;813 713;B01;2;7;0;2;8;1;1;
202200000141;813 714;A01;1;7;0;2;2;14;1;
202200000142;813 710;B01;1;7;0;2;8;1;1;
202200000142;813 711;A01;1;32;0;2;4;3;1;
202200000142;813 712;Z01;1;32;0;2;1;3;1;
202200000143;813 708;B01;2;7;0;2;4;2;2;
202200000143;813 709;A01;2;33;0;2;1;2;1;
202200000144;813 705;Z01;2;7;0;2;8;11;1;
202200000144;813 706;B01;2;7;0;2;5;1;1;
202200000144;813 707;A01;2;43;0;2;7;3;1;
202200000145;813 702;C01;1;10;0;2;4;2;1;
202200000145;813 703;B01;1;7;4;2;4;2;1;
202200000145;813 704;A01;1;7;0;2;1;2;1;
202200000146;813 700;A01;1;7;0;2;3;15;1;
202200000146;813 701;B01;1;80;0;2;1;1;3;
202200000147;813 698;A01;1;1;0;2;1;1;5;
202200000147;813 699;Z01;2;7;0;2;0;17;0;
202200000148;813 697;A01;1;10;0;1;1;1;1;
202200000149;813 696;A01;1;32;0;1;1;1;1;
202200000150;813 694;B01;1;10;0;0;0;1;1;
202200000150;813 695;A01;1;30;0;0;0;9;1;
202200000151;813 691;B01;3;7;0;2;4;23;2;
202200000151;813 692;C01;3;7;0;2;4;23;1;
202200000151;813 693;A01;3;7;0;2;1;2;1;
202200000152;813 690;A01;1;1;0;0;0;21;5;
202200000153;813 689;A01;1;7;0;1;1;15;2;
202200000154;813 688;A01;1;7;0;1;2;1;1;
202200000155;813 687;A01;2;50;0;1;2;25;3;
202200000156;813 685;A01;1;7;0;2;2;1;1;
202200000156;813 686;B01;1;7;0;2;3;9;1;
202200000157;813 684;A01;1;1;0;1;1;1;5;
202200000158;813 682;A01;1;7;0;2;4;4;1;
202200000158;813 683;B01;1;10;0;2;1;2;1;
202200000159;813 680;B01;2;31;0;2;1;18;1;
202200000159;813 681;A01;1;7;0;2;3;15;0;
202200000160;813 678;B01;3;7;0;2;1;1;1;
202200000160;813 679;A01;3;7;0;2;7;16;1;
202200000161;813 676;B01;1;7;0;2;3;1;1;
202200000161;813 677;A01;1;50;0;2;2;16;3;
202200000162;813 674;A01;2;10;0;2;1;1;1;
202200000162;813 675;B01;2;7;0;2;7;1;1;
202200000163;813 670;B01;2;3;0;2;1;1;0;
202200000163;813 671;A01;2;3;0;2;8;1;0;
202200000164;813 669;A01;3;1;0;0;0;1;5;
202200000165;813 667;B01;3;1;0;2;1;16;5;
202200000165;813 668;A01;3;7;0;2;3;15;1;
202200000166;813 665;A01;3;7;0;2;1;9;1;
202200000166;813 666;B01;3;1;0;2;7;1;5;
202200000167;813 663;A01;2;2;0;2;1;13;1;
