Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200000001;19;10;2022;16:15;1;26;26198;2;3;1;3;TEIL(vieille route du);44,5594200000;4,7257200000
202200000002;20;10;2022;08:34;1;25;25204;2;3;1;3;Miranda;46,9258100000;6,3462000000
202200000003;20;10;2022;17:15;1;22;22360;2;6;1;2;ROND POINT DE BREZILLET;48,4931620000; -2,7604390000
202200000004;20;10;2022;18:00;1;16;16102;2;3;8;6;LOHMEYER (RUE);45,6926520000; -0,3262900000
202200000005;19;10;2022;11:45;1;13;13103;1;1;1;2;ROUTE DE JEAN MOULIN-RN 538;43,6755790366;5,0927031775
202200000006;6;10;2022;14:00;1;13;13056;2;2;1;3;TURCAN FRANCIS;43,4127500000;5,0505900000
202200000007;20;10;2022;21:00;5;13;13063;2;1;1;1;CARNOT  RUE;43,5822900000;5,0034300000
202200000008;15;10;2022;21:00;5;12;12145;2;2;1;3;JAURES JEAN (AVENUE);44,1036000000;3,0798400000
202200000009;20;10;2022;09:43;1;10;10387;2;1;8;6;LOMBARDS (AVENUE);48,2717969874;4,0788030624
202200000010;19;10;2022;12:30;1;10;10387;2;9;1;-1;PREMIER MAI (RUE DU);48,3041200000;4,0883300000
202200000011;20;10;2022;06:20;5;09;09122;2;1;2;6;ESPAGNE (ROUTE D');42,9545900000;1,6236600000
202200000012;20;10;2022;06:00;5;06;06088;2;1;1;3;CASSIN (BD RENE);43,6694800000;7,2140000000
202200000013;19;10;2022;19:30;3;03;03095;1;1;1;6;Route des Grivats;46,1022300000;3,5027800000
202200000014;18;10;2022;17:50;1;02;02059;1;1;1;1;10 Grande Rue;49,6536000000;3,3476700000
202200000015;21;10;2022;03:16;5;75;75119;2;7;1;2;PLACE SKANDERBEG;48,9004080000;2,3715030000
202200000016;21;10;2022;16:32;1;75;75106;2;1;1;3;RUE DE VAUGIRARD;48,8479990000;2,3301760000
202200000017;20;10;2022;13:00;1;75;75105;2;2;1;3;BOULEVARD SAINT GERMAIN;48,8513870000;2,3431860000
202200000018;20;10;2022;23:15;5;75;75120;2;3;9;6;RUE DE MENILMONTANT;48,8686411244;2,3895666003
202200000019;21;10;2022;11:20;1;75;75116;2;1;1;3;AVENUE DU PRESIDENT KENNEDY;48,8522770000;2,2800410000
202200000020;21;10;2022;10:40;1;75;75116;2;3;1;3;BOULEVARD LANNES;48,8645180000;2,2698050000
202200000021;21;10;2022;06:10;5;75;75116;2;7;2;1;PLACE DE LA PORTE MAILLOT;48,8772030000;2,2838210000
202200000022;21;10;2022;18:25;2;75;75115;2;1;1;6;RUE DE LA CROIX NIVERT;48,8415650000;2,2925190000
202200000023;20;10;2022;03:25;5;75;75114;2;1;1;6;RUE EMILE RICHARD;48,8373260000;2,3285770000
202200000024;21;10;2022;18:30;5;75;75113;2;3;1;6;AVENUE D IVRY;48,8233170000;2,3657010000
202200000025;21;10;2022;11:25;1;75;75113;2;4;1;6;BOULEVARD KELLERMANN;48,8210280000;2,3545150000
202200000026;21;10;2022;00:00;5;75;75120;2;3;8;3;AVENUE DE LA PORTE DE BAGNOLET;48,8647870000;2,4101080000
202200000027;21;10;2022;15:50;1;75;75103;2;2;1;6;RUE DE TURENNE;48,8613270000;2,3646020000
202200000028;20;10;2022;14:10;1;75;75101;2;2;1;6;RUE THERESE;48,8662530000;2,3354970000
202200000029;21;10;2022;07:30;5;94;94081;2;3;3;1;EDOUARD TIL (R);48,7883700000;2,3848800000
202200000030;30;9;2022;01:00;3;94;94081;1;1;1;6;BRETELLE A86;48,7741500000;2,4037300000
202200000031;21;10;2022;08:15;2;94;94080;2;2;2;6;FONTENAY (R DE);48,8477400000;2,4403000000
202200000032;20;10;2022;17:20;1;94;94068;2;1;1;2;CARNOT (AV);48,7954800000;2,4869800000
202200000033;21;10;2022;10:40;1;94;94058;2;1;9;2;LEDRU ROLLIN (AV);48,8421150000;2,5011700000
202200000034;19;10;2022;17:10;1;94;94042;2;1;1;3;Avenue du Général Galliéni;48,8200990000;2,4788820000
202200000035;21;10;2022;13:15;1;94;94046;2;3;1;6;GENERAL DE GAULLE (AV DU);48,8100700000;2,4237100000
202200000036;21;10;2022;09:20;1;94;94065;2;6;3;1;ALI DJERMOUNI (RD PT);48,7533000000;2,3475500000
202200000037;21;10;2022;07:40;5;94;94022;2;3;2;6;Rue Jules Vallès / Rue Aristide Briand;48,7534800000;2,4107900000
202200000038;21;10;2022;08:58;1;94;94059;2;2;2;6;Avenue Maurice Berteaux / Avenue Maurice Ponroy;48,8051700000;2,5722800000
202200000039;21;10;2022;19:10;2;94;94075;2;3;1;3;Av du Mal de Lattre de Tassigny / Rue du Lieutenant Dagorno;48,7274700000;2,5311000000
202200000040;21;10;2022;11:07;1;93;93078;2;1;1;6;Avenue Vauban;48,9682421218;2,5511906106
202200000041;21;10;2022;07:50;5;93;93005;2;1;3;1;Boulevard André Citroën;48,9581800059;2,4848115273
202200000042;21;10;2022;06:00;5;93;93005;2;2;2;1;Boulevard Lefèvre / Rue Lafayette;48,9420400000;2,4920000000
202200000043;21;10;2022;15:40;1;93;93039;2;1;1;6;CITE MARCEL PAUL;48,9195030000;2,3261220000
202200000044;20;10;2022;08:50;1;93;93064;2;2;2;3;Boulevard d'Alsace-lorraine / Rue Jacques Offenbach;48,8849400000;2,4815600000
202200000045;21;10;2022;06:45;5;93;93055;2;1;3;2;Avenue Jean Jaurès;48,9047840348;2,3934013165
202200000046;21;10;2022;19:40;5;93;93049;2;2;1;3;Avenue Jean Jaurès / Avenue Victor Hugo;48,8587000000;2,5065400000
202200000047;21;10;2022;16:00;1;93;93049;2;2;8;3;Avenue Carnot / Rue Gabriel Péri;48,8643486047;2,5033120572
202200000048;21;10;2022;06:05;5;93;93048;2;2;2;4;Rue Pierre de Montreuil / Boulevard Théophile Sueur;48,8630055353;2,4660628920
202200000049;20;10;2022;23:50;5;93;93031;2;6;1;6;Avenue Léon Blum;48,9595200000;2,3142200000
202200000050;21;10;2022;07:20;5;93;93005;2;1;3;6;Route de Mitry;48,9460206396;2,5101830821
202200000051;20;10;2022;22:45;3;92;92073;2;9;8;6;ROUX (RUE DU DOCTEUR EMILE);48,8656660000;2,2160830000
202200000052;21;10;2022;10:45;1;92;92072;2;9;1;6;GRANDE RUE;48,8222255152;2,2065806687
202200000053;21;10;2022;17:22;1;92;92064;2;1;1;6;FOUILLEUSE;48,8609833144;2,2100881934
202200000054;21;10;2022;12:10;1;92;92047;2;1;1;2;JARDY;48,8279290000;2,1515860000
202200000055;21;10;2022;18:30;1;92;92062;2;3;1;6;CARNOT (RUE SADI);48,8854000000;2,2344000000
202200000056;20;10;2022;20:00;5;92;92051;2;1;2;7;CHARLES DE GAULLE (AVENUE, N°27 A 129);48,8787400000;2,2786600000
202200000057;21;10;2022;20:45;5;92;92020;2;1;1;2;VERDUN AVENUE DE AUTRES N°;48,7996100000;2,2818300000
202200000058;21;10;2022;20:00;5;92;92048;2;1;1;2;JEAN JAURES (AVENUE) N° 8 A 72;48,8128800000;2,2462000000
202200000059;21;10;2022;09:00;1;92;92024;2;9;2;3;ANCIENNNE MAIRIE (RUE DE L');48,9036646539;2,3030495346
202200000060;21;10;2022;09:26;1;92;92060;2;1;2;3;ARTHUR RANC (RUE);48,7844900000;2,2748800000
202200000061;21;10;2022;08:30;1;92;92060;2;1;2;6;CHARLES DE GAULLE (AVENUE) RD75 N°1 A 35;48,7806300000;2,2630400000
202200000062;21;10;2022;14:40;1;92;92012;2;1;1;3;THIERS (RUE) 1/65;48,8371210000;2,2483650000
202200000063;21;10;2022;20:23;5;92;92007;2;7;1;3;RAVERA (AVENUE HENRI) N° 111 A 217 ET 10;48,8019115375;2,3106474280
202200000064;21;10;2022;20:00;5;92;92002;2;1;9;3;ADOLPHE PAJEAUD (RUE);48,7430900000;2,2877800000
202200000065;22;10;2022;05:40;3;76;76621;1;1;1;6;autoroute A28;49,6431298707;1,2667151729
202200000066;20;10;2022;17:40;2;68;68178;2;1;2;7;30 Rue du Felsenbach;47,9349260000;7,1194410000
202200000067;21;10;2022;19:00;5;972;97225;2;1;1;6;Rue Bouille;14,7437370000; -61,1762680000
202200000068;3;10;2022;17:12;1;63;63001;2;1;1;6;4 Place de la Halle;46,0205690000;3,2010610000
202200000069;21;10;2022;19:10;3;22;22213;1;1;8;2;N176;48,5364820000; -1,9770560000
202200000070;21;10;2022;14:47;1;76;76417;1;1;1;1;A28, PK 66.800;49,6888370000;1,3520320000
