Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200001603;4;BERRY (R DU);0;;-1;2;0;1;1;0;1;; -1;1;0;1;50
202200001604;3;176;-1;;2;2;0;1;3;690;2;; -1;1;0;1;80
202200001605;3;MAURICE THOREZ (AV);0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202200001606;3;DE GAULLE (AV DU GENERAL) 58/49 - FIN;0;;1;2;0;1;1;0;2;; -1;1;0;1;40
202200001608;4;RESISTANCE (PLACE);0;;2;2;0;1;0;0;2;; -1;1;5;1;50
202200001610;3;RD11;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202200001611;3;WINSTON CHURCHILL AVENUE;0;;2;2;0;2;1;0;1;; -1;1;0;1;50
202200001612;2;57;-1;N;2;2;0;1;80;480;4;; -1;1;0;1;70
202200001613;3;SAINT LEU (ROUTE);0;;2;2;2;1;0;1;1;; -1;1;0;5;50
202200001614;3;209;-1;D;2;2;0;1;3;170;1;; -1;1;0;1;50
202200001615;4;QUATORZE-JUILLET (AV. DU);0;;2;2;0;1;1;0;1;; -1;1;0;1;50
202200001616;3;751;-1;;3;2;0;1;26;328;1;; -1;1;0;1;80
202200001617;3;DIVISION LECLERC (AVENUE DE LA) A20;0;;2;2;0;1;1;1;1;; -1;1;0;1;50
202200001618;4;151;-1;A;2;2;0;2;(1);(1);1;; -1;1;0;1;80
202200001619;4;MULIN RUE HIPPOLYTE;0;;2;1;0;1;0;1;1;; -1;1;0;1;50
202200001620;3;D765;-1;;2;2;0;2;17;724;1;; -1;1;0;1;80
202200001621;3;906;0;;2;2;1;1;0;0;1;; -1;1;0;5;50
202200001623;3;518;0;D;2;2;0;2;85;400;1;; -1;1;0;3;80
202200001625;4;VERRIER (AV);0;;2;1;0;1;0;0;1;; -1;1;0;1;30
202200001626;3;56;0;;2;2;0;1;8;736;1;; -1;1;0;1;70
202200001628;3;74;0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202200001630;3;59;0;D;2;2;0;1;7;500;1;; -1;1;0;1;80
202200001631;3;11;-1;;2;2;0;1;68;750;1;;5,5;1;0;1;80
202200001633;3;98;0;D;2;2;0;1;29;164;1;; -1;1;0;3;80
202200001634;3;28;0;;2;2;0;1;29;0;1;; -1;1;0;3;80
202200001635;7;959;-1;;3;2;0;4;1;900;1;; -1;1;5;1;50
202200001636;1;A4;0;;1;4;0;2;36;532;1;; -1;1;0;5;130
202200001637;3;41;-1;D;2;2;0;1;1;890;1;; -1;1;0;1;90
202200001638;9;D23;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200001639;2;157;0;N;3;4;0;1;28;600;1;; -1;1;0;3;110
202200001641;1;4;0;;3;3;0;2;361;300;1;; -1;1;0;1;130
202200001642;1;10;0;A;3;3;0;1;130;200;1;;10;1;0;1;130
202200001643;3;337;-1;;2;2;0;1;10;300;1;; -1;1;0;1;80
202200001644;3;14;0;;2;2;0;1;22;310;2;;5;1;0;1;80
